accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,n_test,train_time_s,complexity
0.9255050505050505,0.9230141821897163,0.9230141821897163,0,302,dprf_no_switch_loss,electrical_gain_025,792,12.039560900011566,52235
1.0,1.0,1.0,0,302,dprf_no_switch_loss,vibration_drift_025rms,792,12.039560900011566,52235
1.0,1.0,1.0,0,302,dprf_no_switch_loss,vibration_drift_050rms,792,12.039560900011566,52235
1.0,1.0,1.0,0,302,dprf_no_switch_loss,vibration_drift_100rms,792,12.039560900011566,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_no_switch_loss,electrical_drift_025rms,792,12.039560900011566,52235
0.9974747474747475,0.9974794400449793,0.9974794400449793,0,302,dprf_no_switch_loss,electrical_drift_050rms,792,12.039560900011566,52235
0.9444444444444444,0.9451153569145138,0.9451153569145138,0,302,dprf_no_switch_loss,electrical_drift_100rms,792,12.039560900011566,52235
1.0,1.0,1.0,0,302,dprf_no_semantic,clean_reextract,792,10.803742700023577,52235
0.9002525252525253,0.8971496897635479,0.897149689763548,0,302,dprf_no_semantic,vibration_missing,792,10.803742700023577,52235
0.9040404040404041,0.8998683790391432,0.8998683790391433,0,302,dprf_no_semantic,electrical_missing,792,10.803742700023577,52235
1.0,1.0,1.0,0,302,dprf_no_semantic,vibration_gain_075,792,10.803742700023577,52235
1.0,1.0,1.0,0,302,dprf_no_semantic,vibration_gain_050,792,10.803742700023577,52235
0.9949494949494949,0.9949489876326291,0.9949489876326293,0,302,dprf_no_semantic,vibration_gain_025,792,10.803742700023577,52235
0.9962121212121212,0.9962116320117095,0.9962116320117095,0,302,dprf_no_semantic,electrical_gain_075,792,10.803742700023577,52235
0.9962121212121212,0.9962022275380492,0.9962022275380492,0,302,dprf_no_semantic,electrical_gain_050,792,10.803742700023577,52235
0.9785353535353535,0.9786165699683184,0.9786165699683184,0,302,dprf_no_semantic,electrical_gain_025,792,10.803742700023577,52235
1.0,1.0,1.0,0,302,dprf_no_semantic,vibration_drift_025rms,792,10.803742700023577,52235
1.0,1.0,1.0,0,302,dprf_no_semantic,vibration_drift_050rms,792,10.803742700023577,52235
1.0,1.0,1.0,0,302,dprf_no_semantic,vibration_drift_100rms,792,10.803742700023577,52235
1.0,1.0,1.0,0,302,dprf_no_semantic,electrical_drift_025rms,792,10.803742700023577,52235
0.9974747474747475,0.9974747112418395,0.9974747112418396,0,302,dprf_no_semantic,electrical_drift_050rms,792,10.803742700023577,52235
0.9696969696969697,0.9695026832698116,0.9695026832698114,0,302,dprf_no_semantic,electrical_drift_100rms,792,10.803742700023577,52235
1.0,1.0,1.0,0,302,dprf_full,clean_reextract,792,12.161518900014926,52235
0.9204545454545454,0.9193605344926713,0.9193605344926714,0,302,dprf_full,vibration_missing,792,12.161518900014926,52235
0.922979797979798,0.920588593590634,0.9205885935906338,0,302,dprf_full,electrical_missing,792,12.161518900014926,52235
1.0,1.0,1.0,0,302,dprf_full,vibration_gain_075,792,12.161518900014926,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_full,vibration_gain_050,792,12.161518900014926,52235
0.9962121212121212,0.9962119581577963,0.9962119581577964,0,302,dprf_full,vibration_gain_025,792,12.161518900014926,52235
1.0,1.0,1.0,0,302,dprf_full,electrical_gain_075,792,12.161518900014926,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_full,electrical_gain_050,792,12.161518900014926,52235
0.9861111111111112,0.9861174976059335,0.9861174976059336,0,302,dprf_full,electrical_gain_025,792,12.161518900014926,52235
1.0,1.0,1.0,0,302,dprf_full,vibration_drift_025rms,792,12.161518900014926,52235
1.0,1.0,1.0,0,302,dprf_full,vibration_drift_050rms,792,12.161518900014926,52235
1.0,1.0,1.0,0,302,dprf_full,vibration_drift_100rms,792,12.161518900014926,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_full,electrical_drift_025rms,792,12.161518900014926,52235
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,302,dprf_full,electrical_drift_050rms,792,12.161518900014926,52235
0.9242424242424242,0.9231684668974397,0.9231684668974397,0,302,dprf_full,electrical_drift_100rms,792,12.161518900014926,52235
