test_load,seed,model,condition,quality_target_vibration,quality_target_electrical,switch_target,semantic_vibration_mean,semantic_electrical_mean,calibrated_vibration_mean,calibrated_electrical_mean,switch_mean,reliability_vibration_mean,reliability_electrical_mean
555,302,gate_da,vibration_gain_050,0.5,1.0,0.5,0.5243746638298035,0.47562530636787415,,,,,
555,302,gate_da,vibration_gain_025,0.25,1.0,0.75,0.5252671241760254,0.4747328758239746,,,,,
555,302,gate_da,electrical_gain_075,1.0,0.75,0.25,1.0,6.310918584592762e-13,,,,,
555,302,gate_da,electrical_gain_050,1.0,0.5,0.5,1.0,2.1456787391209156e-30,,,,,
555,302,gate_da,electrical_gain_025,1.0,0.25,0.75,1.0,0.0,,,,,
555,302,gate_da,vibration_drift_025rms,0.75,1.0,0.25,0.6413791179656982,0.35862088203430176,,,,,
555,302,gate_da,vibration_drift_050rms,0.5,1.0,0.5,0.6437444090843201,0.3562556207180023,,,,,
555,302,gate_da,vibration_drift_100rms,0.0,1.0,1.0,0.6554152965545654,0.34458473324775696,,,,,
555,302,gate_da,electrical_drift_025rms,1.0,0.75,0.25,0.6503415107727051,0.34965845942497253,,,,,
555,302,gate_da,electrical_drift_050rms,1.0,0.5,0.5,0.724577784538269,0.27542224526405334,,,,,
555,302,gate_da,electrical_drift_100rms,1.0,0.0,1.0,0.6667098999023438,0.33329007029533386,,,,,
555,302,rcarf_hard,clean_reextract,1.0,1.0,0.0,,,0.00019984765094704926,0.9998002648353577,0.21251678466796875,,
555,302,rcarf_hard,vibration_missing,0.0,1.0,1.0,,,3.2718355214456096e-05,0.9999672770500183,0.9989673495292664,,
555,302,rcarf_hard,electrical_missing,1.0,0.0,1.0,,,0.9994860291481018,0.0005138813867233694,0.9953784346580505,,
555,302,rcarf_hard,vibration_gain_075,0.75,1.0,0.25,,,0.00014085444854572415,0.9998592734336853,0.3397814929485321,,
555,302,rcarf_hard,vibration_gain_050,0.5,1.0,0.5,,,9.316022624261677e-05,0.9999068379402161,0.7173038125038147,,
555,302,rcarf_hard,vibration_gain_025,0.25,1.0,0.75,,,7.089850987540558e-05,0.9999291300773621,0.8588191866874695,,
555,302,rcarf_hard,electrical_gain_075,1.0,0.75,0.25,,,1.0,5.86701958127378e-08,0.9894440770149231,,
555,302,rcarf_hard,electrical_gain_050,1.0,0.5,0.5,,,1.0,4.219210803401921e-28,0.9972749948501587,,
555,302,rcarf_hard,electrical_gain_025,1.0,0.25,0.75,,,1.0,1.961817850054744e-44,0.9981011152267456,,
555,302,rcarf_hard,vibration_drift_025rms,0.75,1.0,0.25,,,0.00020250515080988407,0.999797523021698,0.21485678851604462,,
555,302,rcarf_hard,vibration_drift_050rms,0.5,1.0,0.5,,,0.00021038998966105282,0.9997895956039429,0.22133497893810272,,
555,302,rcarf_hard,vibration_drift_100rms,0.0,1.0,1.0,,,0.00024379417300224304,0.9997562170028687,0.24246110022068024,,
555,302,rcarf_hard,electrical_drift_025rms,1.0,0.75,0.25,,,0.0005678287125192583,0.9994322061538696,0.2275841385126114,,
555,302,rcarf_hard,electrical_drift_050rms,1.0,0.5,0.5,,,0.9638084769248962,0.03619154170155525,0.9477533102035522,,
555,302,rcarf_hard,electrical_drift_100rms,1.0,0.0,1.0,,,1.0,1.69249279065292e-29,1.0,,
555,302,dprf_no_rel_loss,clean_reextract,1.0,1.0,0.0,0.8809735774993896,0.119026318192482,0.8814458250999451,0.11855411529541016,0.1353062093257904,0.9374759793281555,0.8930517435073853
555,302,dprf_no_rel_loss,vibration_missing,0.0,1.0,1.0,0.04466037452220917,0.9553396105766296,0.0066480557434260845,0.993351936340332,0.9994893670082092,0.21355484426021576,0.9727970957756042
555,302,dprf_no_rel_loss,electrical_missing,1.0,0.0,1.0,0.9987279772758484,0.0012720513623207808,0.999170184135437,0.0008298747125081718,0.9985125660896301,0.9990865588188171,0.5777117609977722
555,302,dprf_no_rel_loss,vibration_gain_075,0.75,1.0,0.25,0.7971149682998657,0.20288494229316711,0.7968307137489319,0.20316927134990692,0.22012171149253845,0.9624643921852112,0.9250374436378479
555,302,dprf_no_rel_loss,vibration_gain_050,0.5,1.0,0.5,0.7794825434684753,0.22051747143268585,0.7803642153739929,0.21963587403297424,0.36293888092041016,0.9932359457015991,0.9469547271728516
555,302,dprf_no_rel_loss,vibration_gain_025,0.25,1.0,0.75,0.8274199962615967,0.17257997393608093,0.8278082013130188,0.1721918135881424,0.49811580777168274,0.9993470907211304,0.961650013923645
555,302,dprf_no_rel_loss,electrical_gain_075,1.0,0.75,0.25,0.9948365092277527,0.005163475871086121,0.9954136610031128,0.004586328286677599,0.3636797368526459,0.9854848980903625,0.5872199535369873
555,302,dprf_no_rel_loss,electrical_gain_050,1.0,0.5,0.5,0.9999430775642395,5.697536107618362e-05,0.9999542832374573,4.570313103613444e-05,0.5008777976036072,0.9937873482704163,0.4187512695789337
555,302,dprf_no_rel_loss,electrical_gain_025,1.0,0.25,0.75,0.9999992251396179,7.761474307699245e-07,0.9999994039535522,6.683932838313922e-07,0.5507302284240723,0.9978204369544983,0.3312770128250122
555,302,dprf_no_rel_loss,vibration_drift_025rms,0.75,1.0,0.25,0.8806631565093994,0.11933673173189163,0.8811140060424805,0.11888603866100311,0.1366439163684845,0.936647891998291,0.8925576210021973
555,302,dprf_no_rel_loss,vibration_drift_050rms,0.5,1.0,0.5,0.8806911706924438,0.11930885910987854,0.8810612559318542,0.11893872171640396,0.1412920504808426,0.9340651631355286,0.892848551273346
555,302,dprf_no_rel_loss,vibration_drift_100rms,0.0,1.0,1.0,0.8749557137489319,0.12504425644874573,0.8744086027145386,0.1255914866924286,0.15655720233917236,0.923797607421875,0.8919945955276489
555,302,dprf_no_rel_loss,electrical_drift_025rms,1.0,0.75,0.25,0.8841315507888794,0.11586852371692657,0.884271502494812,0.11572857946157455,0.15169000625610352,0.9392393231391907,0.8988192081451416
555,302,dprf_no_rel_loss,electrical_drift_050rms,1.0,0.5,0.5,0.7786355018615723,0.2213645726442337,0.7795930504798889,0.2204069346189499,0.4341476261615753,0.9941609501838684,0.9222207069396973
555,302,dprf_no_rel_loss,electrical_drift_100rms,1.0,0.0,1.0,0.44148963689804077,0.5585103631019592,0.4417336583137512,0.5582663416862488,0.9769904613494873,0.9993583559989929,0.9902728199958801
555,302,dprf_no_switch_loss,clean_reextract,1.0,1.0,0.0,0.6117129921913147,0.3882870078086853,0.5822786092758179,0.41772136092185974,0.9999998211860657,0.8825080394744873,0.9999421834945679
555,302,dprf_no_switch_loss,vibration_missing,0.0,1.0,1.0,0.4631110727787018,0.5368888974189758,3.211987859685905e-05,0.9999679327011108,0.999904453754425,3.5095567000098526e-05,0.9999987483024597
555,302,dprf_no_switch_loss,electrical_missing,1.0,0.0,1.0,0.5743632316589355,0.42563676834106445,0.9886395931243896,0.011360391974449158,0.9999552965164185,0.9993323087692261,0.008725984953343868
555,302,dprf_no_switch_loss,vibration_gain_075,0.75,1.0,0.25,0.5955518484115601,0.40444818139076233,0.5380740165710449,0.4619259834289551,0.9999999403953552,0.7871594429016113,0.9999373555183411
555,302,dprf_no_switch_loss,vibration_gain_050,0.5,1.0,0.5,0.6052504777908325,0.3947494924068451,0.47480127215385437,0.525198757648468,1.0,0.5778024196624756,0.9999610185623169
555,302,dprf_no_switch_loss,vibration_gain_025,0.25,1.0,0.75,0.639792799949646,0.3602072596549988,0.4357210397720337,0.5642790198326111,1.0,0.41177064180374146,0.9999710321426392
555,302,dprf_no_switch_loss,electrical_gain_075,1.0,0.75,0.25,0.9204638004302979,0.0795363187789917,0.9547163844108582,0.04528365656733513,1.0,0.9853092432022095,0.536626398563385
555,302,dprf_no_switch_loss,electrical_gain_050,1.0,0.5,0.5,0.9898149371147156,0.010185092687606812,0.9948176145553589,0.005182365421205759,1.0,0.9996805191040039,0.4990553855895996
555,302,dprf_no_switch_loss,electrical_gain_025,1.0,0.25,0.75,0.9984844326972961,0.0015155876753851771,0.9992414712905884,0.000758559734094888,1.0,0.9999921917915344,0.5003852248191833
555,302,dprf_no_switch_loss,vibration_drift_025rms,0.75,1.0,0.25,0.6115279793739319,0.3884720504283905,0.5816752910614014,0.41832461953163147,0.9999998211860657,0.8810663223266602,0.9999415874481201
555,302,dprf_no_switch_loss,vibration_drift_050rms,0.5,1.0,0.5,0.611258327960968,0.3887416422367096,0.5801799893379211,0.4198199212551117,0.9999998211860657,0.8769263625144958,0.9999411702156067
555,302,dprf_no_switch_loss,vibration_drift_100rms,0.0,1.0,1.0,0.6132652163505554,0.3867347836494446,0.5774677991867065,0.42253223061561584,0.9999998211860657,0.8613389134407043,0.999930202960968
555,302,dprf_no_switch_loss,electrical_drift_025rms,1.0,0.75,0.25,0.6173785328865051,0.3826214671134949,0.5870136618614197,0.41298627853393555,0.9999998211860657,0.8784348964691162,0.9997860789299011
555,302,dprf_no_switch_loss,electrical_drift_050rms,1.0,0.5,0.5,0.6536706686019897,0.3463292717933655,0.7257424592971802,0.2742575407028198,0.9999996423721313,0.9656174182891846,0.6777623295783997
555,302,dprf_no_switch_loss,electrical_drift_100rms,1.0,0.0,1.0,0.7364020943641663,0.26359787583351135,0.9167895317077637,0.08321048319339752,1.0,0.9999986290931702,0.22709552943706512
555,302,dprf_no_semantic,clean_reextract,1.0,1.0,0.0,0.5,0.5,0.46751973032951355,0.5324802398681641,0.1378137469291687,0.8777866363525391,0.9987435936927795
555,302,dprf_no_semantic,vibration_missing,0.0,1.0,1.0,0.5,0.5,0.00022238238307181746,0.9997774958610535,0.9996991157531738,0.0002224467898486182,0.9998981356620789
555,302,dprf_no_semantic,electrical_missing,1.0,0.0,1.0,0.5,0.5,0.9975205063819885,0.002479545772075653,0.998932957649231,0.9995632171630859,0.002488671336323023
555,302,dprf_no_semantic,vibration_gain_075,0.75,1.0,0.25,0.5,0.5,0.4374058246612549,0.5625942349433899,0.22621674835681915,0.7795612215995789,0.9987245798110962
555,302,dprf_no_semantic,vibration_gain_050,0.5,1.0,0.5,0.5,0.5,0.3525327444076538,0.6474672555923462,0.4326472282409668,0.5516881346702576,0.9994347095489502
555,302,dprf_no_semantic,vibration_gain_025,0.25,1.0,0.75,0.5,0.5,0.2638598382472992,0.736140251159668,0.6160741448402405,0.3665564954280853,0.9996940493583679
555,302,dprf_no_semantic,electrical_gain_075,1.0,0.75,0.25,0.5,0.5,0.6412059664726257,0.3587940037250519,0.4395953118801117,0.9775854349136353,0.5511269569396973
555,302,dprf_no_semantic,electrical_gain_050,1.0,0.5,0.5,0.5,0.5,0.6698640584945679,0.33013591170310974,0.5087867379188538,0.9993429183959961,0.49272167682647705
555,302,dprf_no_semantic,electrical_gain_025,1.0,0.25,0.75,0.5,0.5,0.6828763484954834,0.3171235918998718,0.5350843071937561,0.9999840259552002,0.4647800028324127
555,302,dprf_no_semantic,vibration_drift_025rms,0.75,1.0,0.25,0.5,0.5,0.4672063887119293,0.5327936410903931,0.13910427689552307,0.8766676187515259,0.9987192749977112
555,302,dprf_no_semantic,vibration_drift_050rms,0.5,1.0,0.5,0.5,0.5,0.4661911725997925,0.5338088274002075,0.14320264756679535,0.8731771111488342,0.9987093806266785
555,302,dprf_no_semantic,vibration_drift_100rms,0.0,1.0,1.0,0.5,0.5,0.46294426918029785,0.5370557904243469,0.15955498814582825,0.8618932962417603,0.9983948469161987
555,302,dprf_no_semantic,electrical_drift_025rms,1.0,0.75,0.25,0.5,0.5,0.46788257360458374,0.5321174263954163,0.1623205542564392,0.8764389753341675,0.995758056640625
555,302,dprf_no_semantic,electrical_drift_050rms,1.0,0.5,0.5,0.5,0.5,0.6568350791931152,0.34316492080688477,0.5116625428199768,0.9921014904975891,0.519572913646698
555,302,dprf_no_semantic,electrical_drift_100rms,1.0,0.0,1.0,0.5,0.5,0.7662797570228577,0.23372025787830353,0.9468836784362793,1.0,0.30814993381500244
555,302,dprf_full,clean_reextract,1.0,1.0,0.0,0.758417546749115,0.2415824681520462,0.7412416934967041,0.2587583065032959,0.11885320395231247,0.8839296102523804,0.9998969435691833
555,302,dprf_full,vibration_missing,0.0,1.0,1.0,0.4897603392601013,0.5102396011352539,3.450428994256072e-05,0.9999655485153198,0.9996480941772461,2.3023954781820066e-05,0.9999980926513672
555,302,dprf_full,electrical_missing,1.0,0.0,1.0,0.7578479647636414,0.24215203523635864,0.9992629289627075,0.0007370104431174695,0.9971839785575867,0.9995239973068237,0.0017471658065915108
555,302,dprf_full,vibration_gain_075,0.75,1.0,0.25,0.659113883972168,0.34088611602783203,0.6256224513053894,0.3743775486946106,0.21103978157043457,0.7852551341056824,0.9999237060546875
555,302,dprf_full,vibration_gain_050,0.5,1.0,0.5,0.6140928864479065,0.3859071433544159,0.5440003871917725,0.45599955320358276,0.4118894040584564,0.5770677328109741,0.9999728202819824
555,302,dprf_full,vibration_gain_025,0.25,1.0,0.75,0.6129179000854492,0.3870820999145508,0.5002904534339905,0.4997095465660095,0.5584414601325989,0.4213748574256897,0.9999887347221375
555,302,dprf_full,electrical_gain_075,1.0,0.75,0.25,0.9816632270812988,0.018336845561861992,0.9888392686843872,0.011160735040903091,0.4584168791770935,0.9869697690010071,0.5694597959518433
