accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,fit_time_s
0.9886363636363636,0.9886442063990204,0.9886442063990203,333,302,knn,electrical_drift_050rms,0.0013500999193638563
0.9545454545454546,0.9543232079553757,0.9543232079553757,333,302,knn,electrical_drift_100rms,0.0013500999193638563
0.9204545454545454,0.9197468590295492,0.9197468590295491,333,302,gnb,clean_reextract,0.0029011000879108906
0.2765151515151515,0.14205623598412973,0.14205623598412973,333,302,gnb,vibration_missing,0.0029011000879108906
0.8699494949494949,0.865082285812969,0.865082285812969,333,302,gnb,electrical_missing,0.0029011000879108906
0.9166666666666666,0.915116911737725,0.9151169117377249,333,302,gnb,vibration_gain_075,0.0029011000879108906
0.9078282828282829,0.9089107532880547,0.9089107532880548,333,302,gnb,vibration_gain_050,0.0029011000879108906
0.6982323232323232,0.6556729331275889,0.6556729331275889,333,302,gnb,vibration_gain_025,0.0029011000879108906
0.8813131313131313,0.876649223510989,0.8766492235109891,333,302,gnb,electrical_gain_075,0.0029011000879108906
0.8194444444444444,0.7966069318150472,0.796606931815047,333,302,gnb,electrical_gain_050,0.0029011000879108906
0.7411616161616161,0.7015727983335528,0.7015727983335528,333,302,gnb,electrical_gain_025,0.0029011000879108906
0.9217171717171717,0.9210673720108561,0.9210673720108561,333,302,gnb,vibration_drift_025rms,0.0029011000879108906
0.9292929292929293,0.9289476030734914,0.9289476030734914,333,302,gnb,vibration_drift_050rms,0.0029011000879108906
0.9444444444444444,0.9443332532362972,0.9443332532362972,333,302,gnb,vibration_drift_100rms,0.0029011000879108906
0.9128787878787878,0.9118167494302095,0.9118167494302094,333,302,gnb,electrical_drift_025rms,0.0029011000879108906
0.9166666666666666,0.9158344083218841,0.915834408321884,333,302,gnb,electrical_drift_050rms,0.0029011000879108906
0.9494949494949495,0.9494372197428643,0.9494372197428643,333,302,gnb,electrical_drift_100rms,0.0029011000879108906
0.9924242424242424,0.9924203273040483,0.9924203273040482,333,302,lda,clean_reextract,0.01545910001732409
0.7058080808080808,0.6813594344344712,0.6813594344344712,333,302,lda,vibration_missing,0.01545910001732409
0.8699494949494949,0.8535303796097845,0.8535303796097846,333,302,lda,electrical_missing,0.01545910001732409
0.9886363636363636,0.988611813474956,0.9886118134749559,333,302,lda,vibration_gain_075,0.01545910001732409
0.9873737373737373,0.9873281361428651,0.9873281361428652,333,302,lda,vibration_gain_050,0.01545910001732409
0.9330808080808081,0.9299072956085285,0.9299072956085284,333,302,lda,vibration_gain_025,0.01545910001732409
0.98989898989899,0.9898698908884787,0.9898698908884788,333,302,lda,electrical_gain_075,0.01545910001732409
0.9886363636363636,0.9885815902254627,0.9885815902254628,333,302,lda,electrical_gain_050,0.01545910001732409
0.9810606060606061,0.9810484031079049,0.981048403107905,333,302,lda,electrical_gain_025,0.01545910001732409
0.9924242424242424,0.9924203273040483,0.9924203273040482,333,302,lda,vibration_drift_025rms,0.01545910001732409
0.9924242424242424,0.9924203273040483,0.9924203273040482,333,302,lda,vibration_drift_050rms,0.01545910001732409
0.9924242424242424,0.9924203273040483,0.9924203273040482,333,302,lda,vibration_drift_100rms,0.01545910001732409
0.9924242424242424,0.9924203273040483,0.9924203273040482,333,302,lda,electrical_drift_025rms,0.01545910001732409
